Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2024-07-01;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-06-30 22:00:00+00:00;NaN;NaN;NaN
2024-07-01;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-06-30 23:00:00+00:00;NaN;NaN;NaN
2024-07-01;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 00:00:00+00:00;NaN;NaN;NaN
2024-07-01;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 01:00:00+00:00;NaN;NaN;NaN
2024-07-01;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 02:00:00+00:00;NaN;NaN;NaN
2024-07-01;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 03:00:00+00:00;NaN;NaN;NaN
2024-07-01;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 04:00:00+00:00;NaN;NaN;NaN
2024-07-01;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 05:00:00+00:00;NaN;NaN;NaN
2024-07-01;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 06:00:00+00:00;NaN;NaN;NaN
2024-07-01;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 07:00:00+00:00;NaN;NaN;NaN
2024-07-01;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 08:00:00+00:00;NaN;NaN;NaN
2024-07-01;11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 09:00:00+00:00;NaN;NaN;NaN
2024-07-01;12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 10:00:00+00:00;NaN;NaN;NaN
2024-07-01;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 11:00:00+00:00;NaN;NaN;NaN
2024-07-01;14;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 12:00:00+00:00;NaN;NaN;NaN
2024-07-01;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 13:00:00+00:00;NaN;NaN;NaN
2024-07-01;16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 14:00:00+00:00;NaN;NaN;NaN
2024-07-01;17;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 15:00:00+00:00;NaN;NaN;NaN
2024-07-01;18;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 16:00:00+00:00;NaN;NaN;NaN
2024-07-01;19;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 17:00:00+00:00;NaN;NaN;NaN
2024-07-01;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 18:00:00+00:00;NaN;NaN;NaN
2024-07-01;21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 19:00:00+00:00;NaN;NaN;NaN
2024-07-01;22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 20:00:00+00:00;NaN;NaN;NaN
2024-07-01;23;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 21:00:00+00:00;NaN;NaN;NaN
2024-07-01;0;50.00;-0.74;-1.37;0.00;-0.10;2024-07-01 00:00:00+02:00;6.00;62.00;8.00;54.00;2024-06-30 22:00:00+00:00;44.00;40.00;44.00
2024-07-01;1;67.00;-0.74;-1.37;0.00;-0.10;2024-07-01 01:00:00+02:00;6.00;52.00;4.00;48.00;2024-06-30 23:00:00+00:00;44.00;44.00;44.00
2024-07-01;2;92.00;1.12;0.00;0.00;-0.02;2024-07-01 02:00:00+02:00;7.00;18.00;2.00;16.00;2024-07-01 00:00:00+00:00;47.00;44.00;48.00
2024-07-01;3;75.00;1.12;0.00;0.00;-0.02;2024-07-01 03:00:00+02:00;7.00;13.00;0.00;13.00;2024-07-01 01:00:00+00:00;44.00;NaN;44.00
2024-07-01;4;83.00;1.12;0.00;0.00;-0.02;2024-07-01 04:00:00+02:00;7.00;22.00;4.00;18.00;2024-07-01 02:00:00+00:00;40.00;33.00;42.00
2024-07-01;5;33.00;1.12;0.00;0.00;-0.02;2024-07-01 05:00:00+02:00;7.00;51.00;9.00;42.00;2024-07-01 03:00:00+00:00;43.00;41.00;43.00
2024-07-01;6;33.00;1.12;0.00;0.00;-0.02;2024-07-01 06:00:00+02:00;7.00;72.00;3.00;69.00;2024-07-01 04:00:00+00:00;48.00;43.00;48.00
2024-07-01;7;8.00;1.12;0.00;0.00;-0.02;2024-07-01 07:00:00+02:00;7.00;108.00;24.00;84.00;2024-07-01 05:00:00+00:00;34.00;34.00;34.00
2024-07-01;8;8.00;1.12;0.00;0.00;-0.02;2024-07-01 08:00:00+02:00;7.00;300.00;36.00;264.00;2024-07-01 06:00:00+00:00;35.00;35.00;35.00
2024-07-01;10;8.00;1.12;0.00;0.00;-0.02;2024-07-01 10:00:00+02:00;7.00;252.00;36.00;216.00;2024-07-01 08:00:00+00:00;35.00;35.00;35.00
2024-07-01;11;17.00;1.12;0.00;0.00;-0.02;2024-07-01 11:00:00+02:00;7.00;90.00;6.00;84.00;2024-07-01 09:00:00+00:00;36.00;37.00;36.00
2024-07-01;12;8.00;1.12;0.00;0.00;-0.02;2024-07-01 12:00:00+02:00;7.00;276.00;12.00;264.00;2024-07-01 10:00:00+00:00;39.00;39.00;39.00
2024-07-01;14;17.00;1.12;0.00;0.00;-0.02;2024-07-01 14:00:00+02:00;7.00;252.00;6.00;246.00;2024-07-01 12:00:00+00:00;35.00;35.00;35.00
2024-07-01;15;8.00;1.12;0.00;0.00;-0.02;2024-07-01 15:00:00+02:00;7.00;312.00;24.00;288.00;2024-07-01 13:00:00+00:00;30.00;30.00;30.00
2024-07-01;16;8.00;1.12;0.00;0.00;-0.02;2024-07-01 16:00:00+02:00;7.00;384.00;12.00;372.00;2024-07-01 14:00:00+00:00;29.00;29.00;29.00
2024-07-01;18;8.00;1.12;0.00;0.00;-0.02;2024-07-01 18:00:00+02:00;7.00;228.00;12.00;216.00;2024-07-01 16:00:00+00:00;33.00;33.00;33.00
2024-07-01;19;17.00;1.12;0.00;0.00;-0.02;2024-07-01 19:00:00+02:00;7.00;228.00;12.00;216.00;2024-07-01 17:00:00+00:00;34.00;32.00;34.00
2024-07-01;20;25.00;1.12;0.00;0.00;-0.02;2024-07-01 20:00:00+02:00;7.00;140.00;4.00;136.00;2024-07-01 18:00:00+00:00;37.00;35.00;37.00
2024-07-01;21;42.00;1.12;0.00;0.00;-0.02;2024-07-01 21:00:00+02:00;7.00;122.00;10.00;113.00;2024-07-01 19:00:00+00:00;41.00;37.00;41.00
2024-07-01;22;33.00;1.12;0.00;0.00;-0.02;2024-07-01 22:00:00+02:00;7.00;99.00;0.00;99.00;2024-07-01 20:00:00+00:00;40.00;NaN;40.00
2024-07-01;23;42.00;1.12;0.00;0.00;-0.02;2024-07-01 23:00:00+02:00;7.00;110.00;10.00;101.00;2024-07-01 21:00:00+00:00;39.00;39.00;39.00
2024-07-02;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 22:00:00+00:00;NaN;NaN;NaN
2024-07-02;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-01 23:00:00+00:00;NaN;NaN;NaN
2024-07-02;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 00:00:00+00:00;NaN;NaN;NaN
2024-07-02;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 01:00:00+00:00;NaN;NaN;NaN
2024-07-02;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 02:00:00+00:00;NaN;NaN;NaN
2024-07-02;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 03:00:00+00:00;NaN;NaN;NaN
2024-07-02;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 04:00:00+00:00;NaN;NaN;NaN
2024-07-02;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 05:00:00+00:00;NaN;NaN;NaN
2024-07-02;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 06:00:00+00:00;NaN;NaN;NaN
2024-07-02;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 07:00:00+00:00;NaN;NaN;NaN
2024-07-02;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 08:00:00+00:00;NaN;NaN;NaN
2024-07-02;11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 09:00:00+00:00;NaN;NaN;NaN
2024-07-02;12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 10:00:00+00:00;NaN;NaN;NaN
2024-07-02;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 11:00:00+00:00;NaN;NaN;NaN
2024-07-02;14;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 12:00:00+00:00;NaN;NaN;NaN
2024-07-02;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 13:00:00+00:00;NaN;NaN;NaN
2024-07-02;16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 14:00:00+00:00;NaN;NaN;NaN
2024-07-02;17;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 15:00:00+00:00;NaN;NaN;NaN
2024-07-02;18;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 16:00:00+00:00;NaN;NaN;NaN
2024-07-02;19;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 17:00:00+00:00;NaN;NaN;NaN
2024-07-02;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 18:00:00+00:00;NaN;NaN;NaN
2024-07-02;21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-07-02 19:00:00+00:00;NaN;NaN;NaN
